statute_id,type,year,has_enacted,has_consolidated,n_effects,n_effect_feed_pages,enacted_url,current_url,enacted_source_status,oracle_source_status,enacted_source_size,oracle_source_size,enacted_source_sha256,oracle_source_sha256
ukpga/1866/77,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/77/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/77/data.xml,available,available,2506,2506,c0120b2ccf4685c0d685dc582031fc52c9c1da9e3ab96feec86d758551aaac7b,c0120b2ccf4685c0d685dc582031fc52c9c1da9e3ab96feec86d758551aaac7b
ukpga/1866/78,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/78/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/78/data.xml,available,available,2376,2376,f499750a36278faedd8c80f90bc4ac5717b49d68e4fb0cefad185829275ed3f1,f499750a36278faedd8c80f90bc4ac5717b49d68e4fb0cefad185829275ed3f1
ukpga/1866/79,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/79/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/79/data.xml,available,available,2402,2402,361009e7354f4271c58c4f0a0aa3ee5ee4440f4b8143e25aba5d4af81aa81670,361009e7354f4271c58c4f0a0aa3ee5ee4440f4b8143e25aba5d4af81aa81670
ukpga/1866/8,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/8/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/8/data.xml,available,available,2486,2486,8a1a254293389b265d43761c7b815c5c7e4bfab8b6c4003b3cd6d52c84e0309d,8a1a254293389b265d43761c7b815c5c7e4bfab8b6c4003b3cd6d52c84e0309d
ukpga/1866/80,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/80/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/80/data.xml,available,available,2400,2400,952d9ebca31e5f337c497723b5d01e97d0da013a2e4addb87cf6f134bf8fa285,952d9ebca31e5f337c497723b5d01e97d0da013a2e4addb87cf6f134bf8fa285
ukpga/1866/81,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/81/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/81/data.xml,available,available,2400,2400,b6bcdade8e1adebf86f5644b2be4c093bfc652707933f95895a8150a022feebc,b6bcdade8e1adebf86f5644b2be4c093bfc652707933f95895a8150a022feebc
ukpga/1866/82,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/82/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/82/data.xml,available,available,2406,2406,ff888fadbf25480de1fd0f62f745a1df583ea24b3c7098c9454d5f3bd2beb621,ff888fadbf25480de1fd0f62f745a1df583ea24b3c7098c9454d5f3bd2beb621
ukpga/1866/83,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/83/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/83/data.xml,available,available,2393,2393,1715ea98e4d1b33d5e087b6102936c947c4b79618151b8ceae18613ad427a524,1715ea98e4d1b33d5e087b6102936c947c4b79618151b8ceae18613ad427a524
ukpga/1866/84,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/84/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/84/data.xml,available,available,2400,2400,b4d6b670ae2d17664edfce409389cfbdd23c462d83094576748f79d4336d33cd,b4d6b670ae2d17664edfce409389cfbdd23c462d83094576748f79d4336d33cd
ukpga/1866/85,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/85/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/85/data.xml,available,available,2392,2392,56b27c90848097afc090d52a93cd9fc87fd33ef9ccc04ddb69aceebc1aa78dc3,56b27c90848097afc090d52a93cd9fc87fd33ef9ccc04ddb69aceebc1aa78dc3
ukpga/1866/86,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/86/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/86/data.xml,available,available,2383,2383,a9a4a3d668544c2ade704976c895c5e458a755ea6d35ec3a15a887ec5dd8c721,a9a4a3d668544c2ade704976c895c5e458a755ea6d35ec3a15a887ec5dd8c721
ukpga/1866/87,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/87/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/87/data.xml,available,available,2399,2399,6689b407f12d2589181318d103191522397356a8117ae54aa926076bb21c9ad2,6689b407f12d2589181318d103191522397356a8117ae54aa926076bb21c9ad2
ukpga/1866/88,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/88/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/88/data.xml,available,available,2386,2386,bdcb4fdfe49f000be74514742d1caaefe6fe4e643f86c1014f0bbd5d9d599fad,bdcb4fdfe49f000be74514742d1caaefe6fe4e643f86c1014f0bbd5d9d599fad
ukpga/1866/89,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/89/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/89/data.xml,available,available,2383,2383,39c45bf99ee414b3f889ac9c1e10a4faf46afb3a60779d2dbcea81e3c4d28f4c,39c45bf99ee414b3f889ac9c1e10a4faf46afb3a60779d2dbcea81e3c4d28f4c
ukpga/1866/9,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/9/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/9/data.xml,available,available,2445,2445,c6982c6baa67bd36343bc1a69c4527b9f32394e74e5309f0bd8c5b1c14dd7c29,c6982c6baa67bd36343bc1a69c4527b9f32394e74e5309f0bd8c5b1c14dd7c29
ukpga/1866/90,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/90/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/90/data.xml,available,available,2374,2374,e818c1f49c1adcb999069e13dbf5cbe8cd87bd84763670a4674a5db57bb9c70c,e818c1f49c1adcb999069e13dbf5cbe8cd87bd84763670a4674a5db57bb9c70c
ukpga/1866/91,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/91/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/91/data.xml,available,available,2605,2605,4fda00969cdc98c4c6f0f6b46cc3140d5a63e3e74a3d9a920cd5a0ba51e7db1c,4fda00969cdc98c4c6f0f6b46cc3140d5a63e3e74a3d9a920cd5a0ba51e7db1c
ukpga/1866/92,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/92/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/92/data.xml,available,available,2522,2522,9a49caac03bd638b0492791d46980fa0386caebf624423b4d8cb4edef5950c86,9a49caac03bd638b0492791d46980fa0386caebf624423b4d8cb4edef5950c86
ukpga/1866/93,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/93/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/93/data.xml,available,available,2419,2419,ef2f4d9c96ec9d1396b3453b5aeeaf0258492ed3f0a6ff0d38409eae5788cf5e,ef2f4d9c96ec9d1396b3453b5aeeaf0258492ed3f0a6ff0d38409eae5788cf5e
ukpga/1866/94,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/94/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/94/data.xml,available,available,2388,2388,6a7ffdd883b04bfb5cc73cb17ea8ad943a49c8fe5da296830dc7105371e64420,6a7ffdd883b04bfb5cc73cb17ea8ad943a49c8fe5da296830dc7105371e64420
ukpga/1866/95,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/95/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/95/data.xml,available,available,2411,2411,4741ff06562b204d769f67723437b7b7755b49c70dd12f32d61abd5c94eef1b5,4741ff06562b204d769f67723437b7b7755b49c70dd12f32d61abd5c94eef1b5
ukpga/1866/96,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/96/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/96/data.xml,available,available,2378,2378,a275abb0e72f2391860d49f53a2d9e1751039f80c1d3bd8c236cb509ad162e34,a275abb0e72f2391860d49f53a2d9e1751039f80c1d3bd8c236cb509ad162e34
ukpga/1866/97,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/97/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/97/data.xml,available,available,2395,2395,f53f9688b5461507ae67bcf149b2b5eaeda26d88b0c0baf199f4e38581067eff,f53f9688b5461507ae67bcf149b2b5eaeda26d88b0c0baf199f4e38581067eff
ukpga/1866/98,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/98/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/98/data.xml,available,available,2384,2384,45c69e61469035a92850d43aa8c1b812f11ec3667353a983864be363a2749fc8,45c69e61469035a92850d43aa8c1b812f11ec3667353a983864be363a2749fc8
ukpga/1866/99,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/99/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/99/data.xml,available,available,2381,2381,448e7c78cdec931d1c9bcde93a22f241865d1540731a597320caceaef33362c1,448e7c78cdec931d1c9bcde93a22f241865d1540731a597320caceaef33362c1
