work_id,work_type,year,n_amendment_operations,n_history_witnesses,operation_families,latest_version_id
act_public_1989_105,act_public,2009,1,1,repealed:1,act_public_1989_105_en_2009-06-29
act_public_1989_106,act_public,2025,58,58,added:31;amended:11;editorial change:1;inserted:5;repealed:7;substituted:3,act_public_1989_106_en_2025-08-01
act_public_1989_11,act_public,2025,169,169,added:9;amended:97;inserted:27;repealed:6;replaced:8;substituted:22,act_public_1989_11_en_2025-04-05
act_public_1989_119,act_public,1999,6,6,repealed:6,act_public_1989_119_en_1999-09-01
act_public_1989_120,act_public,2017,4,4,repealed:4,act_public_1989_120_en_2017-07-01
act_public_1989_13,act_public,2017,30,30,repealed:30,act_public_1989_13_en_2017-06-03
act_public_1989_130,act_public,2017,12,12,amended:2;brought into force:2;expired:1;repealed:7,act_public_1989_130_en_2017-06-03
act_public_1989_131,act_public,2012,1,1,repealed:1,act_public_1989_131_en_2012-08-31
act_public_1989_136,act_public,2020,11,11,amended:2;repealed:9,act_public_1989_136_en_2020-08-07
act_public_1989_140,act_public,2023,171,171,added:4;amended:38;brought into force:1;inserted:45;repealed:69;replaced:6;substituted:8,act_public_1989_140_en_2023-07-01
act_public_1989_142,act_public,2013,46,46,amended:2;inserted:13;repealed:31,act_public_1989_142_en_2013-08-05
act_public_1989_143,act_public,2013,4,4,repealed:1;substituted:3,act_public_1989_143_en_2013-08-05
act_public_1989_145,act_public,2017,1,1,repealed:1,act_public_1989_145_en_2017-06-03
act_public_1989_148,act_public,2025,442,442,added:12;amended:257;brought into force:1;expired:1;inserted:60;repealed:36;replaced:8;substituted:67,act_public_1989_148_en_2025-11-27
act_public_1989_157,act_public,2024,795,795,__missing__:2;amended:137;inserted:173;repealed:400;replaced:83,act_public_1989_157_en_2024-03-01
act_public_1989_16,act_public,1995,1,1,repealed:1,act_public_1989_16_en_1995-10-03
act_public_1989_18,act_public,2026,117,117,added:5;amended:50;editorial change:1;inserted:37;repealed:2;replaced:7;substituted:15,act_public_1989_18_en_2026-03-05
act_public_1989_24,act_public,2025,2071,2071,amended:1256;brought into force:1;expired:4;inserted:456;repealed:101;replaced:253,act_public_1989_24_en_2025-11-27
act_public_1989_25,act_public,2025,259,259,added:10;amended:46;inserted:57;repealed:98;replaced:18;substituted:30,act_public_1989_25_en_2025-10-17
act_public_1989_4,act_public,2012,3,3,repealed:3,act_public_1989_4_en_2012-08-31
act_public_1989_44,act_public,2025,828,828,added:4;amended:209;editorial change:1;inserted:309;repealed:133;replaced:98;substituted:74,act_public_1989_44_en_2025-11-13
act_public_1989_51,act_public,2017,8,8,repealed:8,act_public_1989_51_en_2017-06-03
act_public_1989_6,act_public,2017,2,2,amended:1;repealed:1,act_public_1989_6_en_2017-06-03
act_public_1989_61,act_public,2017,9,9,amended:8;repealed:1,act_public_1989_61_en_2017-06-03
act_public_1989_63,act_public,2013,531,531,__missing__:4;amended:222;inserted:145;repealed:83;replaced:77,act_public_1989_63_en_2013-12-18
act_public_1989_64,act_public,2022,23,23,amended:14;inserted:3;repealed:1;replaced:2;substituted:3,act_public_1989_64_en_2022-04-12
act_public_1989_66,act_public,2017,3,3,amended:2;repealed:1,act_public_1989_66_en_2017-06-03
act_public_1989_67,act_public,2020,8,8,repealed:8,act_public_1989_67_en_2020-08-07
act_public_1989_68,act_public,2021,302,302,__missing__:1;added:1;amended:251;editorial change:13;inserted:7;repealed:20;replaced:4;substituted:5,act_public_1989_68_en_2021-10-28
