grupi_id,base_id,oracle_id,n_amendments,schema,base_effective,oracle_effective,pair_index,redaction_count,title
1027446,131122019006,131122019007,398,tyviseadus,2020-01-06,2020-02-01,22,66,Riigilõivuseadus
1027446,131122019007,131122019008,398,tyviseadus,2020-02-01,2020-02-02,23,66,Riigilõivuseadus
1027446,131122019008,112022020002,398,tyviseadus,2020-02-02,2020-03-01,24,66,Riigilõivuseadus
1027446,112022020002,112022020003,398,tyviseadus,2020-03-01,2020-03-10,25,66,Riigilõivuseadus
1027446,112022020003,112022020004,398,tyviseadus,2020-03-10,2020-04-01,26,66,Riigilõivuseadus
1027446,112022020004,110122020030,398,tyviseadus,2020-04-01,2021-01-01,27,66,Riigilõivuseadus
1027446,110122020030,104012021037,398,tyviseadus,2021-01-01,2021-02-01,28,66,Riigilõivuseadus
1027446,104012021037,122032021012,398,tyviseadus,2021-02-01,2021-04-01,29,66,Riigilõivuseadus
1027446,122032021012,122032021013,398,tyviseadus,2021-04-01,2021-05-26,30,66,Riigilõivuseadus
1027446,122032021013,131052021003,398,tyviseadus,2021-05-26,2021-06-01,31,66,Riigilõivuseadus
1027446,131052021003,125062021005,398,tyviseadus,2021-06-01,2021-07-05,32,66,Riigilõivuseadus
1027446,125062021005,115102021004,398,tyviseadus,2021-07-05,2021-10-25,33,66,Riigilõivuseadus
1027446,115102021004,130112021014,398,tyviseadus,2021-10-25,2021-12-10,34,66,Riigilõivuseadus
1027446,130112021014,108122021017,398,tyviseadus,2021-12-10,2022-01-01,35,66,Riigilõivuseadus
1027446,108122021017,103012022024,398,tyviseadus,2022-01-01,2022-01-13,36,66,Riigilõivuseadus
1027446,103012022024,103012022025,398,tyviseadus,2022-01-13,2022-02-01,37,66,Riigilõivuseadus
1027446,103012022025,127022022006,398,tyviseadus,2022-02-01,2022-03-09,38,66,Riigilõivuseadus
1027446,127022022006,108062022011,398,tyviseadus,2022-03-09,2022-06-18,39,66,Riigilõivuseadus
1027446,108062022011,120062022078,398,tyviseadus,2022-06-18,2022-07-01,40,66,Riigilõivuseadus
1027446,120062022078,120062022079,398,tyviseadus,2022-07-01,2022-07-02,41,66,Riigilõivuseadus
1027446,120062022079,101102022003,398,tyviseadus,2022-07-02,2022-10-11,42,66,Riigilõivuseadus
1027446,101102022003,125102022002,398,tyviseadus,2022-10-11,2022-11-04,43,66,Riigilõivuseadus
1027446,125102022002,110112022017,398,tyviseadus,2022-11-04,2022-11-20,44,66,Riigilõivuseadus
1027446,110112022017,106012023032,398,tyviseadus,2022-11-20,2023-01-16,45,66,Riigilõivuseadus
1027446,106012023032,106012023033,398,tyviseadus,2023-01-16,2023-02-01,46,66,Riigilõivuseadus
1027446,106012023033,114032023032,398,tyviseadus,2023-02-01,2023-03-30,47,66,Riigilõivuseadus
1027446,114032023032,114032023033,398,tyviseadus,2023-03-30,2023-06-01,48,66,Riigilõivuseadus
