amendments,statute_id,bucket,reason,detail,last_status
3,2021/867,suspect,oracle_suspect,2025/1180 eff 2026-01-01 > cutoff 2025-12-11,
3,2021/978,suspect,oracle_suspect,2025/1309 eff 2026-01-01 > cutoff 2025-12-18,
3,2021/983,suspect,oracle_suspect,2025/751 eff 2026-01-01 > cutoff 2025-12-05,
3,2021/997,suspect,oracle_suspect,2025/931 eff 2025-11-01 > cutoff 2025-10-24,
3,2022/1262,core,,,OK
3,2022/1383,suspect,oracle_suspect,2024/293 eff 2024-06-03 > cutoff 2024-05-30,
3,2022/757,suspect,oracle_suspect,2025/1124 eff 2026-01-01 > cutoff 2025-12-04,
3,2022/775,suspect,oracle_suspect,2023/737 eff 2024-01-01 > cutoff 2023-04-14,
3,2022/79,core,,,OK
3,2022/80,core,,,OK
3,2022/81,core,,,OK
3,2023/1021,suspect,oracle_suspect,2024/871 eff 2025-01-01 > cutoff 2024-12-19,
3,2023/1273,core,,,OK
3,2023/163,core,,,OK
3,2023/265,suspect,oracle_suspect,2025/5 eff 2025-01-17 > cutoff 2025-01-16,
3,2023/332,suspect,oracle_suspect,2025/332 eff 2025-06-20 > cutoff 2025-06-13,
3,2023/431,suspect,oracle_suspect,2025/807 eff 2026-01-01 > cutoff 2025-06-27,
3,2023/470,suspect,oracle_suspect,base_oracle_only despite amendment 2023/1065 eff 2024-01-01 <= cutoff 2024-11-21,OK
3,2023/65,suspect,oracle_suspect,2025/1261 eff 2026-01-01 > cutoff 2025-12-18,
3,2023/675,core,,,OK
3,2023/693,suspect,oracle_suspect,2025/425 eff 2026-01-01 > cutoff 2025-06-27,
3,2023/751,suspect,oracle_suspect,2025/809 eff 2026-01-01 > cutoff 2025-06-27,
3,2023/77,suspect,oracle_suspect,2025/1266 eff 2026-01-01 > cutoff 2025-12-18,
3,2023/80,core,,,OK
3,2023/82,core,,,OK
4,1922/149,suspect,oracle_suspect,1998/648 eff 1999-01-01 > cutoff 1998-08-21,
4,1938/154,suspect,oracle_suspect,1995/634 eff 1995-09-01 > cutoff 1995-04-21,
4,1954/165,suspect,oracle_suspect,2006/509 eff 2006-10-01 > cutoff 2006-06-21,
4,1956/463,core,,,OK
4,1958/180,suspect,oracle_suspect,2009/138 eff 2009-09-01 > cutoff 2009-03-13,
4,1958/438,suspect,oracle_suspect,1993/1139 eff 1994-01-01 > cutoff 1993-12-10,
4,1969/152,suspect,oracle_suspect,1998/817 eff 1999-01-01 > cutoff 1998-11-13,
4,1969/435,suspect,oracle_suspect,1994/446 eff 1994-09-01 > cutoff 1994-06-10,
4,1969/436,suspect,oracle_suspect,1997/279 eff 1997-04-01 > cutoff 1997-03-26,
4,1970/670,suspect,oracle_suspect,2021/628 eff 2021-07-01 > cutoff 2021-06-29,
4,1971/621,suspect,oracle_suspect,1993/1362 eff 1994-01-01 > cutoff 1993-12-22,
4,1973/461,suspect,oracle_suspect,2011/897 eff 2014-01-01 > cutoff 2011-07-22,
4,1975/151,suspect,oracle_suspect,2004/453 eff 2004-09-01 > cutoff 2004-06-04,
4,1978/181,suspect,oracle_suspect,1992/1438 eff 1993-12-01 > cutoff 1992-12-18,
4,1978/383,suspect,oracle_suspect,2019/288 eff 2019-04-01 > cutoff 2019-03-14,
4,1979/407,suspect,oracle_suspect,2019/1417 eff 2020-01-01 > cutoff 2019-12-19,
4,1979/925,suspect,oracle_suspect,1995/386 eff 1995-06-01 > cutoff 1995-03-17,
4,1982/264,suspect,oracle_suspect,2000/668 eff 2000-07-12 > cutoff 2000-07-06,
4,1982/656,suspect,oracle_suspect,1999/769 eff 1999-08-01 > cutoff 1999-06-24,
4,1982/91,suspect,oracle_suspect,1997/465 eff 1997-06-01 > cutoff 1997-05-23,
4,1983/370,suspect,oracle_suspect,2015/665 eff 2016-01-01 > cutoff 2015-05-22,
4,1983/964,suspect,oracle_suspect,1992/1267 eff 1993-01-01 > cutoff 1992-12-11,
4,1984/413,core,,,OK
4,1986/307,suspect,oracle_suspect,1998/899 eff 1999-01-01 > cutoff 1998-12-04,
4,1986/508,suspect,oracle_suspect,1997/265 eff 1997-04-01 > cutoff 1997-03-26,
4,1986/610,suspect,oracle_suspect,2000/962 eff 2000-12-01 > cutoff 2000-11-17,
4,1986/739,suspect,oracle_suspect,2000/165 eff 2000-03-01 > cutoff 2000-02-18,
4,1987/140,suspect,oracle_suspect,1994/480 eff 1994-09-01 > cutoff 1994-06-10,
4,1987/255,suspect,oracle_suspect,2006/1375 eff 2007-01-01 > cutoff 2006-12-22,
4,1987/382,suspect,oracle_suspect,1999/657 eff 1999-12-01 > cutoff 1999-05-21,
4,1988/1343,suspect,oracle_suspect,2007/1360 eff 2008-01-01 > cutoff 2007-12-21,
4,1988/449,suspect,oracle_suspect,2020/491 eff 2020-07-01 > cutoff 2020-06-26,
4,1988/989,suspect,oracle_suspect,2002/688 eff 2002-10-01 > cutoff 2002-08-09,
4,1989/506,suspect,oracle_suspect,2015/616 eff 2015-09-01 > cutoff 2015-05-21,
4,1990/1123,suspect,oracle_suspect,2005/712 eff 2005-10-01 > cutoff 2005-09-02,
4,1990/1213,suspect,oracle_suspect,2024/134 eff 2024-04-01 > cutoff 2024-03-22,
4,1990/1259,suspect,oracle_suspect,2003/213 eff 2003-04-01 > cutoff 2003-03-13,
4,1990/631,suspect,oracle_suspect,2002/1259 eff 2003-01-01 > cutoff 2002-12-19,
4,1990/649,suspect,oracle_suspect,2009/1581 eff 2010-01-01 > cutoff 2009-12-22,
4,1991/1161,suspect,oracle_suspect,2002/697 eff 2002-10-01 > cutoff 2002-08-09,
4,1991/1558,suspect,oracle_suspect,2007/436 eff 2007-05-01 > cutoff 2007-04-13,
4,1991/254,suspect,oracle_suspect,2015/1463 eff 2016-01-01 > cutoff 2015-12-10,
4,1991/306,suspect,oracle_suspect,2001/223 eff 2001-04-01 > cutoff 2001-03-15,
4,1991/371,suspect,oracle_suspect,2001/215 eff 2001-03-15 > cutoff 2001-03-08,
4,1991/391,suspect,oracle_suspect,1996/1158 eff 1997-01-01 > cutoff 1996-12-20,
4,1991/516,suspect,oracle_suspect,2000/190 eff 2000-03-01 > cutoff 2000-02-25,
4,1991/654,suspect,oracle_suspect,2004/1424 eff 2005-01-01 > cutoff 2004-12-30,
4,1992/1120,suspect,oracle_suspect,2000/616 eff 2000-07-01 > cutoff 2000-06-21,
4,1992/1597,suspect,oracle_suspect,2002/940 eff 2002-12-01 > cutoff 2002-11-15,
4,1992/1607,suspect,oracle_suspect,1997/809 eff 1997-09-01 > cutoff 1997-08-21,
