statute_id,act_type,year,n_effects,n_enacted_eids,n_oracle_eids,n_common,score,status,error
asp/2018/10,asp,2018,1,309,289,272,0.8803,OK,
asp/2018/11,asp,2018,1,10,11,10,0.9091,OK,
asp/2018/12,asp,2018,3,402,344,325,0.8085,OK,
asp/2018/13,asp,2018,1,145,150,145,0.9667,OK,
asp/2018/14,asp,2018,1,150,156,150,0.9615,OK,
asp/2018/15,asp,2018,1,86,88,86,0.9773,OK,
asp/2018/2,asp,2018,1,5,6,5,0.8333,OK,
asp/2018/3,asp,2018,1,160,182,160,0.8791,OK,
asp/2018/4,asp,2018,1,84,94,84,0.8936,OK,
asp/2018/5,asp,2018,1,269,277,269,0.9711,OK,
asp/2018/6,asp,2018,2,65,56,55,0.8462,OK,
asp/2018/7,asp,2018,1,13,20,13,0.6500,OK,
asp/2018/8,asp,2018,2,775,800,774,0.9675,OK,
asp/2018/9,asp,2018,10,1444,1768,1194,0.6753,OK,
asp/2019/1,asp,2019,2,506,548,506,0.9234,OK,
asp/2019/10,asp,2019,1,268,288,268,0.9306,OK,
asp/2019/11,asp,2019,1,175,176,175,0.9943,OK,
asp/2019/12,asp,2019,1,8,8,8,1.0000,OK,
asp/2019/13,asp,2019,2,716,527,516,0.7207,OK,
asp/2019/14,asp,2019,2,623,632,619,0.9794,OK,
asp/2019/15,asp,2019,1,168,172,168,0.9767,OK,
asp/2019/16,asp,2019,1,15,15,15,1.0000,OK,
asp/2019/17,asp,2019,3,1357,1203,1143,0.8423,OK,
asp/2019/2,asp,2019,1,349,385,349,0.9065,OK,
asp/2019/3,asp,2019,2,64,55,54,0.8438,OK,
asp/2019/4,asp,2019,1,42,30,28,0.6667,OK,
asp/2019/5,asp,2019,1,15,17,15,0.8824,OK,
asp/2019/6,asp,2019,2,254,263,254,0.9658,OK,
asp/2019/7,asp,2019,3,997,1030,975,0.9466,OK,
asp/2019/8,asp,2019,1,100,99,97,0.9700,OK,
asp/2019/9,asp,2019,1,268,292,268,0.9178,OK,
asp/2020/1,asp,2020,1,280,0,0,0.0000,OK,
asp/2020/10,asp,2020,2,544,258,219,0.4026,OK,
asp/2020/11,asp,2020,1,383,422,383,0.9076,OK,
asp/2020/12,asp,2020,1,363,379,363,0.9578,OK,
asp/2020/13,asp,2020,9,1886,2121,1871,0.8821,OK,
asp/2020/14,asp,2020,1,227,230,214,0.9304,OK,
asp/2020/15,asp,2020,1,280,292,280,0.9589,OK,
asp/2020/16,asp,2020,1,286,181,178,0.6224,OK,
asp/2020/17,asp,2020,1,339,376,324,0.8617,OK,
asp/2020/18,asp,2020,1,166,167,166,0.9940,OK,
asp/2020/2,asp,2020,1,3227,3612,3227,0.8934,OK,
asp/2020/3,asp,2020,1,274,285,274,0.9614,OK,
asp/2020/4,asp,2020,1,421,440,421,0.9568,OK,
asp/2020/5,asp,2020,2,64,55,54,0.8438,OK,
asp/2020/6,asp,2020,1,99,101,99,0.9802,OK,
asp/2020/7,asp,2020,3,985,200,143,0.1452,OK,
asp/2020/8,asp,2020,2,435,467,435,0.9315,OK,
asp/2020/9,asp,2020,1,31,18,17,0.5484,OK,
